index,question,distractor3,distractor1,distractor2,correct_answer,support,support-clean,word_count
8915,What helps regulate the production of urine?,the fetal gland,the temporal gland,the discrete gland,the pituitary gland,"Patrick J. Lynch, modified by CK-12 Foundation. The pituitary gland helps regulate the production of urine . CC BY 2.0.","Patrick J. Lynch, modified by CK-12 Foundation. The pituitary gland helps regulate the production of urine . CC BY 2.0.",20
6765,What do extensive properties depend on the amount of?,independent variables,experimental controls,sample temperature,matter in a sample,"Normally, electric charge is transferred when electrons leave the outer orbits of the atoms of one body (leaving it positively charged) and move to the surface of another body (causing the new surface to gain a negative net charge). In a plasma all electrons are stripped from the atoms, leaving positively charged ions and free electrons.","Normally, electric charge is transferred when electrons leave the outer orbits of the atoms of one body (leaving it positively charged) and move to the surface of another body (causing the new surface to gain a negative net charge). In a plasma all electrons are stripped from the atoms, leaving positively charged ions and free electrons.",56
4097,What dangerous oxygen compound is found in ground level smog?,neon,argon,sulfur dioxide,ozone,"Photochemical smog consists mainly of ozone (O 3 ). The ozone in smog is the same compound as the ozone in the ozone layer,(O 3 ). But ozone in smog is found near the ground. Figure below shows how it forms. When nitrogen oxides and VOCs are heated by the Sun, they lose oxygen atoms. The oxygen atoms combine with molecules of oxygen to form ozone. Smog ozone is harmful to humans and other living things.","Photochemical smog consists mainly of ozone (O 3 ). The ozone in smog is the same compound as the ozone in the ozone layer,(O 3 ). But ozone in smog is found near the ground. Figure below shows how it forms. When nitrogen oxides and VOCs are heated by the Sun, they lose oxygen atoms. The oxygen atoms combine with molecules of oxygen to form ozone. Smog ozone is harmful to humans and other living things.",76
1368,"By breaking down organic matter, roundworms play an important role in which cycle?",circadian cycle,water cycle,metamorphic cycle,carbon cycle,"Roundworms may be free-living or parasitic organisms. Free-living worms are found mainly in freshwater habitats. Some live in moist soil. They generally feed on bacteria, fungi, protozoa, or decaying organic matter. By breaking down organic matter, they play an important role in the carbon cycle.","Roundworms may be free-living or parasitic organisms. Free-living worms are found mainly in freshwater habitats. Some live in moist soil. They generally feed on bacteria, fungi, protozoa, or decaying organic matter. By breaking down organic matter, they play an important role in the carbon cycle.",45
679,What kind of rays can travel thousands of meters through air and can penetrate and damage cells deep inside the body?,plasma rays,x-rays,cosmic rays,gamma rays,Alpha particles can travel only a few centimeters through air. They can burn the skin but not penetrate it. Beta particles can travel up to a meter through air. They can penetrate and damage skin. Gamma rays can travel thousands of meters through air. They can penetrate and damage cells deep inside the body.,Alpha particles can travel only a few centimeters through air. They can burn the skin but not penetrate it. Beta particles can travel up to a meter through air. They can penetrate and damage skin. Gamma rays can travel thousands of meters through air. They can penetrate and damage cells deep inside the body.,54
3490,Surface tension is a property that can be found in what state of matter?,water,ice,vapor,liquid,"12.2 Bernoulli’s Equation 4. You can squirt water a considerably greater distance by placing your thumb over the end of a garden hose and then releasing, than by leaving it completely uncovered. Explain how this works. Water is shot nearly vertically upward in a decorative fountain and the stream is observed to broaden as it rises. Conversely, a stream of water falling straight down from a faucet narrows. Explain why, and discuss whether surface tension enhances or reduces the effect in each case. Look back to Figure 12.4. Answer the following two questions. Why is.","12.2 Bernoulli’s Equation 4. You can squirt water a considerably greater distance by placing your thumb over the end of a garden hose and then releasing, than by leaving it completely uncovered. Explain how this works. Water is shot nearly vertically upward in a decorative fountain and the stream is observed to broaden as it rises. Conversely, a stream of water falling straight down from a faucet narrows. Explain why, and discuss whether surface tension enhances or reduces the effect in each case. Look back to Figure 12.4. Answer the following two questions. Why is.",95
10454,What is defined as the velocity of the object at a given moment?,inertia,specific gravity,relativistic velocity,instantaneous velocity,"The instantaneous velocity of an object is the velocity of the object at a given moment. If the object is moving with constant velocity, then the instantaneous velocity at every moment, the average velocity, and the constant velocity are all the same.","The instantaneous velocity of an object is the velocity of the object at a given moment. If the object is moving with constant velocity, then the instantaneous velocity at every moment, the average velocity, and the constant velocity are all the same.",42
1621,"When a warm air mass becomes trapped between two cold air masses, what type of front occurs?",stationary front,storm front,obscured front,occluded front,"With an occluded front , a warm air mass becomes trapped between two cold air masses. The warm air is lifted up above the cold air as in Figure below . Cloudy weather and precipitation along the front are typical.","With an occluded front , a warm air mass becomes trapped between two cold air masses. The warm air is lifted up above the cold air as in Figure below . Cloudy weather and precipitation along the front are typical.",40
2631,What are regular changes in biology or behavior that occur in a 24 hour cycle?,life cycle,cognitive rhythm,auditory rhythm,circadian rhythm,"Circadian rhythms are regular changes in biology or behavior that occur in a 24-hour cycle. In humans, for example, blood pressure and body temperature change in a regular way throughout each 24-hour day.","Circadian rhythms are regular changes in biology or behavior that occur in a 24-hour cycle. In humans, for example, blood pressure and body temperature change in a regular way throughout each 24-hour day.",33
5996,"The leaf chameleon (brookesia micra) was discovered in northern madagascar in 2012. at just over one inch long, it is what?",hottest known chameleon,first known chameleon,largest chameleon,smallest known chameleon,"Figure 27.1 The leaf chameleon (Brookesia micra) was discovered in northern Madagascar in 2012. At just over one inch long, it is the smallest known chameleon. (credit: modification of work by Frank Glaw, et al. , PLOS).","Figure 27.1 The leaf chameleon (Brookesia micra) was discovered in northern Madagascar in 2012. At just over one inch long, it is the smallest known chameleon. (credit: modification of work by Frank Glaw, et al. , PLOS).",37
1378,"What is measured using units pascal, bar, atmosphere or mmhg?",push,fuel,Muscle,pressure,"strong enough to keep the particles of substance together but not in place. Thus, the particles are free to move over each other but still remain in contact. In gases, the intermolecular interactions are weak enough that the individual particles are separated from each other in space. The kinetic theory of gases is a collection of statements that describe the fundamental behavior of all gases. Among other properties, gases exert a pressure on their container. Pressure is measured using units like pascal, bar, atmosphere, or mmHg (also called atorr). There are several simple relationships between the variables used to describe a quantity of gas. These relationships are called gas laws. Boyle’s law relates the pressure and volume of a gas, while Charles’s law relates the volume and absolute temperature of a gas. The combined gas law relates the volume, pressure, and absolute temperature of a gas sample. All of these gas laws allow us to understand the changing conditions of a gas. The ideal gas law relates the pressure, volume, amount, and absolute temperature of a gas under any conditions. These four variables are related to the ideal gas law constant, which is the proportionality constant used to calculate the conditions of a gas. Because the conditions of a gas can change, a set of benchmark conditions called standard temperature and pressure (STP) is defined. Standard temperature is 0ºC, and standard pressure is 1.00 atm.","strong enough to keep the particles of substance together but not in place. Thus, the particles are free to move over each other but still remain in contact. In gases, the intermolecular interactions are weak enough that the individual particles are separated from each other in space. The kinetic theory of gases is a collection of statements that describe the fundamental behavior of all gases. Among other properties, gases exert a pressure on their container. Pressure is measured using units like pascal, bar, atmosphere, or mmHg (also called atorr). There are several simple relationships between the variables used to describe a quantity of gas. These relationships are called gas laws. Boyle’s law relates the pressure and volume of a gas, while Charles’s law relates the volume and absolute temperature of a gas. The combined gas law relates the volume, pressure, and absolute temperature of a gas sample. All of these gas laws allow us to understand the changing conditions of a gas. The ideal gas law relates the pressure, volume, amount, and absolute temperature of a gas under any conditions. These four variables are related to the ideal gas law constant, which is the proportionality constant used to calculate the conditions of a gas. Because the conditions of a gas can change, a set of benchmark conditions called standard temperature and pressure (STP) is defined. Standard temperature is 0ºC, and standard pressure is 1.00 atm.",235
3018,What is the largest artery in the body called?,radial,ventricular,carotid,aorta,"Flaps of tissue called valves separate the heart’s chambers. Valves keep blood flowing in just one direction through the heart. For example, a valve at the bottom of the right atrium opens to let blood flow from the right atrium to the right ventricle. Then the valve closes so the blood can’t flow back into the right atrium.","Flaps of tissue called valves separate the heart’s chambers. Valves keep blood flowing in just one direction through the heart. For example, a valve at the bottom of the right atrium opens to let blood flow from the right atrium to the right ventricle. Then the valve closes so the blood can’t flow back into the right atrium.",58
8277,Which factor ruins renewable resources like soil and water?,resentful human action,melancholic human action,hateful human action,careless human action,"Theoretically, soil and water are renewable resources. However, they may be ruined by careless human actions.","Theoretically, soil and water are renewable resources. However, they may be ruined by careless human actions.",16
9003,What function does a vacuole do for a cell?,reproduction,division,transfer,storage,"Most mature plant cells have a central vacuole that occupies more than 30% of the cell's volume. The central vacuole can occupy as much as 90% of the volume of certain cells. The central vacuole is surrounded by a membrane called the tonoplast . The central vacuole has many functions. Aside from storage, the main role of the vacuole is to maintain turgor pressure against the cell wall. Proteins found in the tonoplast control the flow of water into and out of the vacuole. The central vacuole also stores the pigments that color flowers.","Most mature plant cells have a central vacuole that occupies more than 30% of the cell's volume. The central vacuole can occupy as much as 90% of the volume of certain cells. The central vacuole is surrounded by a membrane called the tonoplast . The central vacuole has many functions. Aside from storage, the main role of the vacuole is to maintain turgor pressure against the cell wall. Proteins found in the tonoplast control the flow of water into and out of the vacuole. The central vacuole also stores the pigments that color flowers.",94
7360,What is the name for elements that neither contain carbon nor come from living things?,pigments,acids,contaminants,minerals,"Minerals are chemical elements that don’t come from living things or include the element carbon. Many minerals are needed in the diet for normal functioning of the body. Several minerals that are needed in relatively large amounts are listed in Table below . As you can see from these examples, minerals have a diversity of important functions. Your body can’t produce any of the minerals it needs, so you must get them from the food you eat. The table shows good food sources of the minerals.","Minerals are chemical elements that don’t come from living things or include the element carbon. Many minerals are needed in the diet for normal functioning of the body. Several minerals that are needed in relatively large amounts are listed in Table below . As you can see from these examples, minerals have a diversity of important functions. Your body can’t produce any of the minerals it needs, so you must get them from the food you eat. The table shows good food sources of the minerals.",86
7787,What are the most advanced group of seedless vascular plants called?,grasses,shrubs,conifers,ferns,"The seedless vascular plants include club mosses, which are the most primitive; whisk ferns, which lost leaves and roots by reductive evolution; and horsetails and ferns. Ferns are the most advanced group of seedless vascular plants. They are distinguished by large leaves called fronds and small sporangia-containing structures called sori, which are found on the underside of the fronds. Mosses play an essential role in the balance of the ecosystems; they are pioneering species that colonize bare or devastated environments and make it possible for a succession to occur. They contribute to the enrichment of the soil and provide shelter and nutrients for animals in hostile environments. Mosses and ferns can be used as fuels and serve culinary, medical, and decorative purposes.","The seedless vascular plants include club mosses, which are the most primitive; whisk ferns, which lost leaves and roots by reductive evolution; and horsetails and ferns. Ferns are the most advanced group of seedless vascular plants. They are distinguished by large leaves called fronds and small sporangia-containing structures called sori, which are found on the underside of the fronds. Mosses play an essential role in the balance of the ecosystems; they are pioneering species that colonize bare or devastated environments and make it possible for a succession to occur. They contribute to the enrichment of the soil and provide shelter and nutrients for animals in hostile environments. Mosses and ferns can be used as fuels and serve culinary, medical, and decorative purposes.",122
10533,What are centrioles made from?,short particles,carbon,short filaments,short microtubules,Centrioles are made of short microtubules and are very important in cell division.,Centrioles are made of short microtubules and are very important in cell division.,13
1237,Are bones considered living or dead tissues?,dead,decaying,decomposing,living,"From seeing a skeleton, you might think that bones are just dead, hollow structures. But in a living person, those hollow spaces are full of living cells. Bones have a blood supply and nerves. Bones are a living tissue.","From seeing a skeleton, you might think that bones are just dead, hollow structures. But in a living person, those hollow spaces are full of living cells. Bones have a blood supply and nerves. Bones are a living tissue.",39
10145,"What is considered to be the ""fundamental unit"" of life?",bacteria,proton,organ,cell,"It could easily be said that a cell is the fundamental unit of life, the smallest unit capable of life or the structural and functional unit necessary for life. But whatever it is, a cell is necessary for life. This concept will discuss some of the fundamental properties of the cell with lessons that include the cell structure, transport in and out of the cell and cell communication.","It could easily be said that a cell is the fundamental unit of life, the smallest unit capable of life or the structural and functional unit necessary for life. But whatever it is, a cell is necessary for life. This concept will discuss some of the fundamental properties of the cell with lessons that include the cell structure, transport in and out of the cell and cell communication.",68
9328,Why do electronegativities decrease from top to bottom?,larger electric pull,smaller atomic size,larger atomic variation,larger atomic size,"Electronegativities generally increase from left to right across a period. This is due to an increase in nuclear charge because of the greater number of protons in the nucleus. Alkali metals have the lowest electronegativities, while halogens have the highest. Because most noble gases do not form compounds, they are generally not assigned electronegativity values. Note that there is little variation among the transition metals. Electronegativities generally decrease from top to bottom within a group due to the larger atomic size.","Electronegativities generally increase from left to right across a period. This is due to an increase in nuclear charge because of the greater number of protons in the nucleus. Alkali metals have the lowest electronegativities, while halogens have the highest. Because most noble gases do not form compounds, they are generally not assigned electronegativity values. Note that there is little variation among the transition metals. Electronegativities generally decrease from top to bottom within a group due to the larger atomic size.",81
9914,What two elements primarily make up the sun?,calcium and helium,oxygen and hydrogen,nitrogen and argon,hydrogen and helium,"The Sun is made almost entirely of the elements hydrogen and helium. The Sun has no solid material. Most atoms in the Sun exist as plasma . Plasma is superheated gas with an electrical charge. Because the Sun is made of gases, it does not have a defined outer boundary. Like Earth, the Sun has an internal structure. The inner three layers make up what we would actually call “the Sun. ”.","The Sun is made almost entirely of the elements hydrogen and helium. The Sun has no solid material. Most atoms in the Sun exist as plasma . Plasma is superheated gas with an electrical charge. Because the Sun is made of gases, it does not have a defined outer boundary. Like Earth, the Sun has an internal structure. The inner three layers make up what we would actually call “the Sun. ”.",72
4784,"What is the fluid that carries sperm through the urethra and out of the body, and provides it with nutrients?",yeast,blood,bacteria,semen,"Semen is the fluid that carries sperm through the urethra and out of the body. In addition to sperm, it contains secretions from the glands. The secretions control pH and provide sperm with nutrients for energy.","Semen is the fluid that carries sperm through the urethra and out of the body. In addition to sperm, it contains secretions from the glands. The secretions control pH and provide sperm with nutrients for energy.",36
6231,What is formed when atoms of different elements combine in a chemical reaction?,toxins,crystals,dust,compounds,"For each of the following situations, tell whether the rate of the reaction would increase or decrease, and explain your answer in terms of collision theory. The concentration of a reactant is doubled.","For each of the following situations, tell whether the rate of the reaction would increase or decrease, and explain your answer in terms of collision theory. The concentration of a reactant is doubled.",33
3411,Which principle states that two species cannot occupy the same niche in a habitat?,tough exclusion,complete exclusion,produce exclusion,competitive exclusion,"Competitive Exclusion Principle Resources are often limited within a habitat and multiple species may compete to obtain them. All species have an ecological niche in the ecosystem, which describes how they acquire the resources they need and how they interact with other species in the community. The competitive exclusion principle states that two species cannot occupy the same niche in a habitat. In other words, different species cannot coexist in a community if they are competing for all the same resources. An example of this principle is shown in Figure 45.24, with two protozoan species, Paramecium aurelia and Paramecium caudatum. When grown individually in the laboratory, they both thrive. But when they are placed together in the same test tube (habitat), P. aurelia outcompetes P. caudatum for food, leading to the latter’s eventual extinction.","Competitive Exclusion Principle Resources are often limited within a habitat and multiple species may compete to obtain them. All species have an ecological niche in the ecosystem, which describes how they acquire the resources they need and how they interact with other species in the community. The competitive exclusion principle states that two species cannot occupy the same niche in a habitat. In other words, different species cannot coexist in a community if they are competing for all the same resources. An example of this principle is shown in Figure 45.24, with two protozoan species, Paramecium aurelia and Paramecium caudatum. When grown individually in the laboratory, they both thrive. But when they are placed together in the same test tube (habitat), P. aurelia outcompetes P. caudatum for food, leading to the latter’s eventual extinction.",134
483,What is the term for groups of three successive nucleotide bases in dna?,triple play,triads,tertiary bases,triplets,Overview of Transcription. Transcription uses the sequence of bases in a strand of DNA to make a complementary strand of mRNA. Triplets are groups of three successive nucleotide bases in DNA. Codons are complementary groups of bases in mRNA.,Overview of Transcription. Transcription uses the sequence of bases in a strand of DNA to make a complementary strand of mRNA. Triplets are groups of three successive nucleotide bases in DNA. Codons are complementary groups of bases in mRNA.,39
8981,"Life span is distinct from what, which means the sequence of stages a plant goes through from seed germination to seed production of the mature plant?",spin cycle,feeding cycle,society cycle,life cycle,"Plant Life Spans The length of time from the beginning of development to the death of a plant is called its life span. The life cycle, on the other hand, is the sequence of stages a plant goes through from seed germination to seed production of the mature plant. Some plants, such as annuals, only need a few weeks to grow, produce seeds and die. Other plants, such as the bristlecone pine, live for thousands of years. Some bristlecone pines have a documented age of 4,500 years Figure 32.29. Even as some parts of a plant, such as regions containing meristematic tissue—the area of active plant growth consisting of undifferentiated cells capable of cell division—continue to grow, some parts undergo programmed cell death (apoptosis). The cork found on stems, and the water-conducting tissue of the xylem, for example, are composed of dead cells.","Plant Life Spans The length of time from the beginning of development to the death of a plant is called its life span. The life cycle, on the other hand, is the sequence of stages a plant goes through from seed germination to seed production of the mature plant. Some plants, such as annuals, only need a few weeks to grow, produce seeds and die. Other plants, such as the bristlecone pine, live for thousands of years. Some bristlecone pines have a documented age of 4,500 years Figure 32.29. Even as some parts of a plant, such as regions containing meristematic tissue—the area of active plant growth consisting of undifferentiated cells capable of cell division—continue to grow, some parts undergo programmed cell death (apoptosis). The cork found on stems, and the water-conducting tissue of the xylem, for example, are composed of dead cells.",143
1185,Sex-linked traits are located on genes on what chromosomes?,dna,reactive,neural,sex,Sex-linked traits are located on genes on the sex chromosomes.,Sex-linked traits are located on genes on the sex chromosomes.,10
9152,A wave is the transfer of energy through what else?,gas,liquid,air,matter,"Most ocean waves are caused by winds. A wave is the transfer of energy through matter. A wave that travels across miles of ocean is traveling energy, not water. Ocean waves transfer energy from wind to the water. The energy is transferred from one water molecule to the next. The energy of a wave may travel for thousands of miles. The water itself moves very little. The picture below shows how water molecules move when a wave goes by ( Figure below ). Once the wave starts, it doesn't need more wind to keep it going.","Most ocean waves are caused by winds. A wave is the transfer of energy through matter. A wave that travels across miles of ocean is traveling energy, not water. Ocean waves transfer energy from wind to the water. The energy is transferred from one water molecule to the next. The energy of a wave may travel for thousands of miles. The water itself moves very little. The picture below shows how water molecules move when a wave goes by ( Figure below ). Once the wave starts, it doesn't need more wind to keep it going.",96
4825,Vascular disorders involve problems with the flow of what?,saliva,mucus,bacteria,blood,"Vascular disorders involve problems with blood flow. For example, a stroke occurs when a blood clot blocks blood flow to part of the brain. Brain cells die quickly if their oxygen supply is cut off. This may cause paralysis and loss of other normal functions, depending on the part of the brain that is damaged.","Vascular disorders involve problems with blood flow. For example, a stroke occurs when a blood clot blocks blood flow to part of the brain. Brain cells die quickly if their oxygen supply is cut off. This may cause paralysis and loss of other normal functions, depending on the part of the brain that is damaged.",55
2430,Which country is formed by a hotspot along the mid-atlantic ridge?,Switzerland,finland,norway,iceland,Hotspots may also be active at plate boundaries. This is especially common at mid-ocean ridges. Iceland is formed by a hotspot along the Mid-Atlantic Ridge.,Hotspots may also be active at plate boundaries. This is especially common at mid-ocean ridges. Iceland is formed by a hotspot along the Mid-Atlantic Ridge.,25
4285,"While in the lungs, blood gives up carbon dioxide and picks up what element before returning to the heart?",hydrogen,nitrogen,methane,oxygen,"Pulmonary circulation is the part of the circulatory system that carries blood between the heart and lungs (the term pulmonary means “of the lungs”). It is illustrated in Figure below . Deoxygenated blood leaves the right ventricle through pulmonary arteries, which transport it to the lungs. In the lungs, the blood gives up carbon dioxide and picks up oxygen. The oxygenated blood then returns to the left atrium of the heart through pulmonary veins.","Pulmonary circulation is the part of the circulatory system that carries blood between the heart and lungs (the term pulmonary means “of the lungs”). It is illustrated in Figure below . Deoxygenated blood leaves the right ventricle through pulmonary arteries, which transport it to the lungs. In the lungs, the blood gives up carbon dioxide and picks up oxygen. The oxygenated blood then returns to the left atrium of the heart through pulmonary veins.",74
6696,"Name a one-celled organism that  can be found on your skin, in the ground, or in all different types of water.",pathogens,virus,fungus,bacteria,"Cells are found in all different types of environments, and these environments are constantly changing. For example, one-celled organisms, like bacteria, can be found on your skin, in the ground, or in all different types of water. Therefore, cells need a way to protect themselves. This job is done by the cell membrane, which is also known as the plasma membrane.","Cells are found in all different types of environments, and these environments are constantly changing. For example, one-celled organisms, like bacteria, can be found on your skin, in the ground, or in all different types of water. Therefore, cells need a way to protect themselves. This job is done by the cell membrane, which is also known as the plasma membrane.",61
